rank,batch_size,learning_rate,regression_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
136,64,0.00075,2.0,8.0,2,1,1e-07,0.9857042939619904,0.16762978784243265,0.9574907163581152,0.9923046113170685,0.993021848172778,50,327.8629319667816
137,128,0.0005,3.0,8.0,3,1,1e-08,0.985693540903965,0.237830668091774,0.9580349446792316,0.9927357088722206,0.9920035100644079,50,193.3124361038208
138,128,0.0005,3.0,8.0,3,1,1e-07,0.9856639043084926,0.2778639311790466,0.9586518109748621,0.9921346531086482,0.9918691531504602,50,193.22686195373535
139,64,0.00075,3.0,8.0,3,1,1e-08,0.9856581536618938,0.2562603228886922,0.959455191384752,0.9901016992281172,0.9930757240347061,50,326.3951721191406
140,128,0.0005,2.0,6.0,3,1,1e-08,0.9856285547371593,0.17167195586363473,0.959140777229256,0.9927952898651218,0.9905781518542591,50,193.23637056350708
141,64,0.0005,2.0,8.0,2,1,1e-07,0.985593191327263,0.19488130629062653,0.9591733585229574,0.9910573393864961,0.9921420673995985,50,324.4990441799164
142,64,0.0005,3.0,8.0,3,1,1e-08,0.9855898605290375,0.2658139182726542,0.9585117226546734,0.9912377683901279,0.9926099510713485,50,326.2595558166504
143,128,0.00075,3.0,6.0,3,1,1e-07,0.985497544420959,0.24658060995737713,0.9600221375921317,0.990887914816969,0.9910801252747355,50,193.24888110160828
144,64,0.00075,2.0,8.0,2,1,1e-08,0.9854829970985564,0.17422272515296935,0.9572412326995291,0.9916953762210533,0.9936620461403095,50,333.4467251300812
145,128,0.0005,3.0,6.0,3,1,1e-08,0.9854237252916079,0.2463715214729309,0.9604701113058163,0.9906593370818164,0.9905654527787991,50,193.22035694122314
146,64,0.0005,2.0,8.0,3,1,1e-07,0.9853685243253282,0.16768742775917053,0.9568101889699088,0.9926455794245127,0.9920183289068913,50,337.65934014320374
147,128,0.00075,3.0,6.0,3,1,1e-08,0.98530089201152,0.2622367780605952,0.9571577329469583,0.9919542229739282,0.9920916121251935,50,193.45596313476562
148,64,0.00075,2.0,8.0,3,1,1e-08,0.9853004415738398,0.1819088631470998,0.9548331261090693,0.9925322397636458,0.9938364004226438,50,326.4056804180145
149,64,0.0005,3.0,8.0,3,1,1e-07,0.9852986184074273,0.25005363885561627,0.9553409703709909,0.9934249326315506,0.9924285706271676,50,402.2307188510895
150,64,0.0005,2.0,6.0,3,1,1e-08,0.9852867956639604,0.16833878767490387,0.9574750993389598,0.9928147322818872,0.9908573510349946,50,329.7218108177185
151,128,0.0005,3.0,6.0,2,1,1e-08,0.9851883508030651,0.2957833124001821,0.9591965369941569,0.9904159088434301,0.9911409573746734,50,189.0322618484497
152,64,0.0005,2.0,8.0,3,1,1e-08,0.9851000280124241,0.1746931777795156,0.9564449734916085,0.9902772895133871,0.9936778490447008,50,325.9589915275574
153,64,0.00075,2.0,6.0,2,1,1e-08,0.9850930594213654,0.1754981874227524,0.9553731377607521,0.9912253609755556,0.993773738949154,50,325.54594254493713
154,128,0.0005,2.0,8.0,3,1,1e-07,0.9850062634212073,0.16945521382490794,0.9584093039955778,0.9901962654131393,0.9914194842761122,50,193.23637080192566
155,128,0.0005,3.0,6.0,3,1,1e-07,0.9848724021703821,0.27008477608362835,0.9577328074349539,0.9917410993814906,0.9900157018650838,50,193.23336839675903
156,128,0.00075,2.0,8.0,2,1,1e-07,0.9848609934776134,0.17812608460585277,0.9544378850794066,0.9915329166835002,0.9934731721475467,50,194.4168839454651
157,64,0.00075,3.0,8.0,2,1,1e-07,0.9848607358598669,0.2702322863737742,0.9560335774091625,0.9923914919155388,0.9910178741147663,50,326.70093417167664
158,128,0.00075,3.0,6.0,2,1,1e-08,0.9848453374462791,0.2863693731625875,0.9570873560188533,0.9900042391275725,0.9922897546386907,50,189.18539309501648
159,64,0.0005,3.0,6.0,2,1,1e-07,0.9848253677334868,0.2687290249665578,0.9599269764318037,0.9883381893466361,0.9910363051555077,50,338.03466296195984
160,64,0.00075,2.0,6.0,3,1,1e-08,0.9847489930145322,0.17200164226690928,0.9555141517899388,0.9918497955571992,0.991632024710991,50,325.15360593795776
161,128,0.0005,2.0,6.0,3,1,1e-07,0.9847465676768077,0.17852643489837647,0.9553204577233223,0.9905936745866532,0.9930721383972554,50,195.93018245697021
162,64,0.0005,3.0,6.0,3,1,1e-08,0.9847324652151456,0.2503978490034739,0.9547427009026731,0.9926686344443185,0.9915185255135907,50,324.29236674308777
163,128,0.0005,2.0,6.0,2,1,1e-08,0.9847133251224742,0.18918751533826192,0.9524459975827424,0.9933987809778184,0.9930085219293363,50,189.07830166816711
164,64,0.00075,3.0,6.0,3,1,1e-07,0.9846029803917915,0.28742331751187644,0.9587021164778748,0.9898402341989254,0.9898695708903655,50,328.1426463127136
165,128,0.0005,3.0,6.0,2,1,1e-07,0.9845863873842257,0.2836403331756592,0.958068041153789,0.9908644906126859,0.9894130177704276,50,196.4045901298523
166,64,0.0005,3.0,6.0,3,1,1e-07,0.9845492670515403,0.288908366839091,0.9561427675940641,0.9885940093793177,0.9934602912327797,50,329.2666366100311
167,128,0.00075,3.0,8.0,3,1,1e-08,0.9845437030110569,0.2748031953175863,0.9539885461037683,0.9914903823014563,0.9926958836390032,50,193.34746623039246
168,64,0.00075,2.0,8.0,3,1,1e-07,0.9844632822559786,0.1758559899330139,0.9524707873916356,0.9923035174738855,0.9930788241583933,50,403.7410635948181
